backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,01,full,-3.627323865890503,0.0,4,0,0.0,True,3,0,28857
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,02,full,-4.769039154052734,0.0,5,0,0.0,True,4,0,28966
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,03,full,-3.351963758468628,0.0,2,0,0.0,True,1,0,15492
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,04,full,-2.2549095153808594,0.0,4,0,0.0,True,3,0,30763
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,05,full,-2.961643934249878,0.0,4,0,0.0,True,1,0,27579
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,06,full,-2.164623260498047,0.0,5,0,0.0,True,3,1,29638
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,07,full,-7.030705213546753,0.0,5,0,0.0,True,4,0,34279
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,08,full,-7.190608978271484,0.0,5,0,0.0,True,3,1,30444
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,09,full,-1.9912567138671875,0.0,3,0,0.0,True,0,0,20047
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,10,full,-2.7095260620117188,0.0,2,0,0.0,True,2,0,15422
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,11,full,-2.381309509277344,0.0,1,0,0.0,True,1,0,9807
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,12,full,-2.0813217163085938,0.0,1,0,0.0,True,1,0,9801
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,13,full,-2.8251419067382812,0.0,3,0,0.0,True,2,0,21610
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,14,full,-3.5911407470703125,0.0,5,0,0.0,True,3,0,27934
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,15,full,-3.257709503173828,0.0,4,0,0.0,True,2,0,26512
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,16,full,-4.272052764892578,0.0,5,0,0.0,True,3,0,30334
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,17,full,-3.241016387939453,0.0,5,0,0.0,True,4,0,30240
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,18,full,-2.7240142822265625,0.0,3,0,0.0,True,2,0,21803
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,19,full,-4.0125274658203125,0.0,5,0,0.0,True,4,0,29540
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,20,full,-11.652278900146484,0.0,5,0,0.0,True,5,2,32322
