backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,01,full,-3.631718397140503,0.0,4,0,0.0,True,2,0,27107
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,02,full,-4.775278091430664,0.0,2,0,0.0,True,2,0,15892
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,03,full,-3.338566541671753,0.0,3,0,0.0,True,2,0,21887
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,04,full,-2.270109176635742,0.0,4,0,0.0,True,3,2,31813
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,05,full,-2.960362195968628,0.0,4,0,0.0,True,2,0,27734
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,06,full,-1.880289077758789,0.0,5,0,0.0,True,4,0,31124
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,07,full,-7.028996229171753,0.0,5,0,0.0,True,3,0,28147
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,08,full,-7.368223190307617,0.0,5,0,0.0,True,3,1,32221
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,09,full,-1.9918594360351562,0.0,3,0,0.0,True,1,0,19664
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,10,full,-2.7121047973632812,0.0,3,0,0.0,True,2,0,22116
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,11,full,-2.3692216873168945,0.0,1,0,0.0,True,1,0,10126
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,12,full,-2.3609619140625,0.0,3,0,0.0,True,3,0,21828
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,13,full,-2.825592041015625,0.0,3,0,0.0,True,2,0,21840
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,14,full,-3.6042251586914062,0.0,5,0,0.0,True,4,0,27303
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,15,full,-2.9270095825195312,0.0,3,0,0.0,True,3,0,22345
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,16,full,-4.676399230957031,0.0,5,0,0.0,True,3,0,31606
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,17,full,-3.268444061279297,0.0,5,0,0.0,True,4,0,29757
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,18,full,-2.889392852783203,0.0,3,0,0.0,True,2,0,23159
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,19,full,-4.024250030517578,0.0,4,0,0.0,True,3,0,29485
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,20,full,-10.886920928955078,0.0,5,0,0.0,True,5,2,32473
