backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,01,no_forbid,-3.627323865890503,0.0,4,0,0.0,True,3,0,29003
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,02,no_forbid,-4.769039154052734,0.0,5,0,0.0,True,4,0,29099
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,03,no_forbid,-3.351963758468628,0.0,5,0,0.0,True,2,0,27395
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,04,no_forbid,-2.2549095153808594,0.0,5,0,0.0,True,3,1,30442
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,05,no_forbid,-2.961643934249878,0.0,4,0,0.0,True,2,0,26342
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,06,no_forbid,-1.8745841979980469,0.2900390625,5,0,0.0,True,1,2,29240
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,07,no_forbid,-7.051090955734253,-0.0203857421875,5,0,0.0,True,4,0,27991
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,08,no_forbid,-7.190670013427734,-6.103515625e-05,5,0,0.0,True,3,1,29874
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,09,no_forbid,-1.9912567138671875,0.0,3,0,0.0,True,0,0,19956
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,10,no_forbid,-2.7095260620117188,0.0,2,0,0.0,True,2,0,15020
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,11,no_forbid,-2.4184722900390625,-0.0371627807617187,3,0,0.0,True,2,0,21009
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,12,no_forbid,-2.3513641357421875,-0.2700424194335937,3,0,0.0,True,2,0,21188
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,13,no_forbid,-2.8251419067382812,0.0,2,0,0.0,True,1,0,15495
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,14,no_forbid,-3.5911407470703125,0.0,5,0,0.0,True,3,0,26545
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,15,no_forbid,-3.3851089477539062,-0.1273994445800781,4,0,0.0,True,3,0,27643
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,16,no_forbid,-4.662910461425781,-0.3908576965332031,5,0,0.0,True,2,0,29315
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,17,no_forbid,-3.240985870361328,3.0517578125e-05,5,0,0.0,True,4,0,28939
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,18,no_forbid,-3.2147865295410156,-0.4907722473144531,4,0,0.0,True,2,0,28197
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,19,no_forbid,-4.148807525634766,-0.1362800598144531,5,0,0.0,True,4,0,29475
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,20,no_forbid,-11.649532318115234,0.00274658203125,5,0,0.0,True,5,2,31300
