case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,no_termination,-3.6317179203033447,0.0,5,0,0.0,True,4,0,40549
02,no_termination,-4.765958786010742,0.0,5,0,0.0,True,4,0,45053
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,3,0,25742
04,no_termination,-1.8452110290527344,0.215118408203125,5,0,0.0,True,5,4,48928
05,no_termination,-2.961643934249878,0.0,5,0,0.0,True,3,0,38012
06,no_termination,-1.8745841979980469,0.2900543212890625,5,0,0.0,True,2,1,28463
07,no_termination,-7.030705213546753,0.0203857421875,5,0,0.0,True,4,0,26236
08,no_termination,-6.869441986083984,-0.455078125,5,0,0.0,True,4,2,28456
09,no_termination,-1.9739322662353516,0.0,4,0,0.0,True,1,0,170041
10,no_termination,-2.7176666259765625,0.0,5,0,0.0,True,4,0,55542
11,no_termination,-2.4184722900390625,-0.029876708984375,3,0,0.0,True,2,0,38607
12,no_termination,-2.3513641357421875,0.0,3,0,0.0,True,2,0,67907
13,no_termination,-2.8251419067382812,0.0,5,0,0.0,True,3,0,54291
14,no_termination,-3.616632461547851,0.0,5,0,0.0,True,3,0,39288
15,no_termination,-3.257678985595703,3.0517578125e-05,5,1,0.2,True,2,0,37602
16,no_termination,-4.662910461425781,0.0,5,0,0.0,True,2,1,42573
17,no_termination,-3.064361572265625,0.1578559875488281,5,1,0.2,True,4,1,45833
18,no_termination,-3.1291351318359375,-0.350341796875,5,0,0.0,True,5,0,42434
19,no_termination,-3.5939178466796875,0.247467041015625,5,0,0.0,True,4,1,44121
20,no_termination,-11.652278900146484,0.0,5,0,0.0,True,5,1,47121
