case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,no_slip,-3.627323865890503,0.0,4,0,0.0,True,3,0,26372
02,no_slip,-4.764400482177734,0.004638671875,5,0,0.0,True,4,0,27222
03,no_slip,-3.351963758468628,0.0,4,0,0.0,True,2,0,24410
04,no_slip,-2.2549095153808594,0.0,5,0,0.0,True,4,0,27613
05,no_slip,-2.961643934249878,0.0,2,0,0.0,True,0,0,14783
06,no_slip,-2.164623260498047,0.0,5,0,0.0,True,3,1,27708
07,no_slip,-7.051090955734253,-0.0203857421875,5,0,0.0,True,5,0,25702
08,no_slip,-7.190670013427734,-6.103515625e-05,5,0,0.0,True,5,1,29034
09,no_slip,-1.9912567138671875,0.0,3,0,0.0,True,0,0,19542
10,no_slip,-2.7095260620117188,0.0,2,0,0.0,True,2,0,14060
11,no_slip,-2.4184722900390625,-0.0371627807617187,3,0,0.0,True,2,0,20250
12,no_slip,-2.0813217163085938,0.0,1,0,0.0,True,1,0,4722
13,no_slip,-2.8251419067382812,0.0,2,0,0.0,True,1,0,14841
14,no_slip,-3.4312286376953125,0.159912109375,3,0,0.0,True,2,0,19575
15,no_slip,-2.9635086059570312,0.2942008972167969,3,0,0.0,True,1,0,19299
16,no_slip,-4.662910461425781,-0.3908576965332031,5,0,0.0,True,2,1,25920
17,no_slip,-3.240985870361328,3.0517578125e-05,5,0,0.0,True,4,0,26804
18,no_slip,-3.2147865295410156,-0.4907722473144531,4,0,0.0,True,1,0,26032
19,no_slip,-4.099582672119141,-0.0870552062988281,5,0,0.0,True,5,0,27948
20,no_slip,-11.652828216552734,-0.00054931640625,5,0,0.0,True,5,1,28172
