backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,001,no_forbid,-4.346963882446289,0.0,5,0,0.0,True,5,3,42510
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,002,no_forbid,-3.3456077575683594,0.0389251708984375,5,0,0.0,True,5,1,39056
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,37531
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,004,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,1,0,35016
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,005,no_forbid,-7.707094192504883,0.0,3,0,0.0,True,2,0,28947
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,006,no_forbid,-7.967422485351563,-0.087432861328125,5,0,0.0,True,4,3,37796
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,007,no_forbid,-7.1137542724609375,0.0,5,0,0.0,True,4,2,36301
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,008,no_forbid,-6.2309417724609375,0.00225830078125,5,0,0.0,True,4,0,37594
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,009,no_forbid,-10.643351554870604,-0.52520751953125,5,0,0.0,True,5,0,36653
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,010,no_forbid,-4.959049940109253,-0.215850830078125,5,0,0.0,True,3,0,33216
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,011,no_forbid,-11.654779434204102,0.0045166015625,5,1,0.2,True,4,0,38234
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,012,no_forbid,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,36328
